51,ADL,Adelaide International,Adelaide,AU
269,AMS,Amsterdam,Amsterdam-schiphol,NL
364,AOJ,Aomori,Aomori,JP
8093,ARN,Stockholm,Arlanda,SE
186,ASP,Alice Springs,Alice Springs,AU
703,BCN,Barcelona,El Prat De Llobregat,ES
887,BGO,Bergen,"Bergen Airport, Flesland",NO
1107,BOS,Boston,Logan International,US
1185,BRS,Bristol,Bristol,GB
6417,CDG,Paris,Charles De Gaulle,FR
1417,CPT,Cape Town,Cape Town International,ZA
2091,DEL,New Delhi,Indira Gandhi Intl,IN
2244,DUB,Dublin,Dublin,IE
2277,DUR,Durban,Durban International,ZA
2335,EIN,Eindhoven,Eindhoven,NL
5891,FLU,New York,Flushing,US
2704,FRA,Frankfurt,Frankfurt International Airport (Rhein-Main),DE
3727,GCJ,Johannesburg,International,ZA
2918,GOI,Goa,Dabolim,IN
2966,GSE,Gothenburg,Gothenburg City Airport,SE
3259,HEM,Helsinki,Helsinki-malmi,FI
3185,HRE,Harare,Harare,ZW
3438,HYD,Hyderabad,Rajiv Gandhi Airport,IN
9094,IAD,Dulles,Washington Dulles Intl,US
7692,ICN,Seoul,Seoul (Incheon),KR
5892,JFK,New York,John F Kennedy Intl,US
6243,KIX,Osaka,Kansai International,JP
4763,LAX,Los Angeles,Los Angeles International,US
8053,LED,St Petersburg,Pulkovo,RU
5893,LGA,New York,La Guardia,US
90,LGW,London,Gatwick,GB
4710,LHR,London,Heathrow,GB
4859,LYS,Lyon,Satolas,FR
4896,MAD,Madrid,Barajas,ES
4998,MAN,Manchester,Manchester,GB
5312,MIA,Miami,Miami International Airport,US
5669,MUC,Munich,Franz Josef Strauss,DE
9482,NCE,Nice,Cote d'Azur International Airport,FR
9473,ORD,Chicago,O'Hare International,US
6256,OSL,Oslo,"Oslo Airport, Gardermoen",NO
6319,PAD,Paderborn,Paderborn,DE
7407,SFO,San Francisco,San Francisco International,US
7728,SNN,Shannon,Shannon,IE
8072,SVG,Stavanger,Sola,NO
5559,SVO,Moscow,Sheremetyevo,RU
8212,SYD,Sydney,Kingsford Smith,AU
8316,TMP,Tampere,Tampere-Pirkkala,FI
8667,TRD,Trondheim,Vaernes,NO
8860,VAA,Vaasa,Vaasa,FI
8950,VFA,Victoria Falls,Victoria Falls,ZW
8881,VLL,Valladolid,Valladolid,ES
9003,VVO,Vladivostok,Vladivostok,RU
9388,YOK,Yokohama,Yokohama,JP
6268,YOW,Ottawa,Ottawa International,CA
8898,YVR,Richmond,Vancouver Intl,CA
8604,YYZ,Toronto,Lester B. Pearson International,CA
